,label,tweet_id,date,flag,user,tweet_text
1149279,4,1978313236,Sat May 30 22:59:58 PDT 2009,NO_QUERY,anjum121,marquee tool clone stamp tool favorite
1261904,4,1998717200,Mon Jun 01 19:00:39 PDT 2009,NO_QUERY,dashalogan,look
80658,0,1752412059,Sat May 09 21:51:11 PDT 2009,NO_QUERY,themaguire,dont die man got much left accomplish
985195,4,1834453249,Mon May 18 02:59:54 PDT 2009,NO_QUERY,drusillarb,go enjoy
416725,0,2061370050,Sat Jun 06 20:43:35 PDT 2009,NO_QUERY,jcfaison,rushed home watch tonight
979409,4,1833927923,Mon May 18 00:58:31 PDT 2009,NO_QUERY,majic13,absolutely approve
1550854,4,2183893650,Mon Jun 15 15:07:50 PDT 2009,NO_QUERY,Bre_Alwayz123,nice skit funny
966403,4,1827690726,Sun May 17 11:14:37 PDT 2009,NO_QUERY,Casserella,hope whole time sleeping laying couch didnt bitch
267839,0,1989275892,Mon Jun 01 00:57:48 PDT 2009,NO_QUERY,KorTn13,homework dont need know put order job want
580555,0,2213988861,Wed Jun 17 16:06:53 PDT 2009,NO_QUERY,thetinamarie,bad little rebel
342070,0,2015180235,Wed Jun 03 03:56:34 PDT 2009,NO_QUERY,MrP3rsonality,sale men weak season
150992,0,1932404919,Tue May 26 21:24:05 PDT 2009,NO_QUERY,phoenixgurly,got pair low pair
1000659,4,1880017581,Thu May 21 23:50:36 PDT 2009,NO_QUERY,scuzzzy,hot outside different withdraw pay
942027,4,1794466129,Thu May 14 05:52:43 PDT 2009,NO_QUERY,2emc,life know channel mine would one would choose easy yes act
455529,0,2070985306,Sun Jun 07 18:38:14 PDT 2009,NO_QUERY,ickleveronie,sore throat fun meeting mommy got work bag mon mal resume work writing sample rest
276769,0,1991113473,Mon Jun 01 06:25:44 PDT 2009,NO_QUERY,elliejanexo,pointless exam dude hot
442894,0,2067405632,Sun Jun 07 12:17:10 PDT 2009,NO_QUERY,kinagrannis,yeah except get sea sick
1339190,4,2018483161,Wed Jun 03 10:02:09 PDT 2009,NO_QUERY,Vysualyze,really dont look deep kind sarcastic mother tone
1494335,4,2069675689,Sun Jun 07 16:19:07 PDT 2009,NO_QUERY,taylahhh,spencer coming excited
1514843,4,2175530133,Mon Jun 15 01:14:49 PDT 2009,NO_QUERY,lilmissjanisha,go back fabulous restaurant loving food
1510884,4,2175013177,Sun Jun 14 23:52:11 PDT 2009,NO_QUERY,Madalys,tweet post believe math good
547433,0,2202076649,Tue Jun 16 21:12:16 PDT 2009,NO_QUERY,Honestlyh,damn font site pretty accurate tried outsmart
1520060,4,2176152657,Mon Jun 15 03:03:53 PDT 2009,NO_QUERY,dadaprofae,promising let know week
1528620,4,2177408210,Mon Jun 15 06:03:13 PDT 2009,NO_QUERY,littlemarybt,eating
1110337,4,1972046629,Sat May 30 08:26:57 PDT 2009,NO_QUERY,debruhlb,student center leadership retreat
1593078,4,2191866699,Tue Jun 16 06:06:34 PDT 2009,NO_QUERY,eyeforpharma,away big follower name charity choice u donate
902403,4,1694420684,Mon May 04 02:32:49 PDT 2009,NO_QUERY,AreonLee,apple apple
483741,0,2180499365,Mon Jun 15 10:33:15 PDT 2009,NO_QUERY,austinSWANN,anyone extra grizzly bear ticket around buy one yet
1049727,4,1960477226,Fri May 29 08:01:34 PDT 2009,NO_QUERY,markhiram,think time change pic got twitter thing
31911,0,1564130064,Mon Apr 20 01:55:45 PDT 2009,NO_QUERY,Shalom01,thanks ordered quot quot nothing going
509523,0,2189429592,Tue Jun 16 00:00:43 PDT 2009,NO_QUERY,red_love07,hey visit please make account many
507224,0,2188846172,Mon Jun 15 22:41:07 PDT 2009,NO_QUERY,jricha60,feel good dairy
311839,0,2001387724,Tue Jun 02 00:43:17 PDT 2009,NO_QUERY,Lavender_Sky,think best friend jordan angry want see hope alright
898972,4,1693723471,Sun May 03 23:32:31 PDT 2009,NO_QUERY,thepurplehawk,glad feeling better get rest kay
63001,0,1687340172,Sun May 03 08:26:07 PDT 2009,NO_QUERY,ErinKav,true stupid statement w blue pink lost first game
1032973,4,1936046742,Wed May 27 07:21:28 PDT 2009,NO_QUERY,aliyaki,bought little yellow outfit
328992,0,2011032123,Tue Jun 02 18:22:04 PDT 2009,NO_QUERY,Spigrrl,time sad know rain like
971137,4,1830924525,Sun May 17 17:51:29 PDT 2009,NO_QUERY,jamestubb,camera
1115904,4,1973040706,Sat May 30 10:21:55 PDT 2009,NO_QUERY,xerocint,going see
281078,0,1992223438,Mon Jun 01 08:24:15 PDT 2009,NO_QUERY,anambanana,love sweet pretty would mind giving would really make day
1214457,4,1989446911,Mon Jun 01 01:34:27 PDT 2009,NO_QUERY,superfluidstate,new moon p super baby alba mean study
536787,0,2198529624,Tue Jun 16 16:12:19 PDT 2009,NO_QUERY,teh_asian_one,cold bad june warm gone school today go tomorrow
1108127,4,1971691436,Sat May 30 07:40:56 PDT 2009,NO_QUERY,zarythecute,thought breathing nice mother daughter relationship
322815,0,2004686587,Tue Jun 02 08:35:11 PDT 2009,NO_QUERY,travisking,interview college journal turn need
625244,0,2230178199,Thu Jun 18 16:44:55 PDT 2009,NO_QUERY,Lyanna,nose glowing like saw today stingray absolutely exhausted sorry hear nat news
1080265,4,1968215735,Fri May 29 20:59:27 PDT 2009,NO_QUERY,EvilStepQueen,especially house smoke outside come stuff hate
1564661,4,2187365878,Mon Jun 15 20:10:34 PDT 2009,NO_QUERY,tnebvlm,saw hilarious
1469426,4,2064893816,Sun Jun 07 07:25:33 PDT 2009,NO_QUERY,jesslovesjonas3,street fair two dollar five dollar heck yes
1086269,4,1969288845,Fri May 29 23:34:24 PDT 2009,NO_QUERY,MidnightRyder,last da
1441236,4,2061790049,Sat Jun 06 21:37:15 PDT 2009,NO_QUERY,CatozWorld,hey
505478,0,2188402041,Mon Jun 15 21:49:58 PDT 2009,NO_QUERY,luxuryluke,harvest nobody fill gap
1384983,4,2052705032,Sat Jun 06 01:42:08 PDT 2009,NO_QUERY,DylanshultZ,man sure love religious political
1537567,4,2179652931,Mon Jun 15 09:23:57 PDT 2009,NO_QUERY,_Au_,get caught twittering driving get ticket
867829,4,1677842116,Sat May 02 04:16:43 PDT 2009,NO_QUERY,xxmileyfan02xx,much awesome
1015535,4,1881578572,Fri May 22 05:02:16 PDT 2009,NO_QUERY,sarahstomorrow,work wishing could outside enjoying beautiful weather thank goodness though
1116020,4,1973069550,Sat May 30 10:25:27 PDT 2009,NO_QUERY,ShakdaBartender,bartending tomorrow instead tonight time pick outfit come
1226495,4,1990844539,Mon Jun 01 05:52:20 PDT 2009,NO_QUERY,whoisdjspecialk,watch point would bout real great music
818274,4,1552036600,Sat Apr 18 10:37:16 PDT 2009,NO_QUERY,LayersTV_RC,gear locker doesnt hurt say
1331219,4,2015968305,Wed Jun 03 05:54:25 PDT 2009,NO_QUERY,Evocative,phoebe course
1485497,4,2067880877,Sun Jun 07 13:07:11 PDT 2009,NO_QUERY,colormyrainbow,slept today room day
958321,4,1825689125,Sun May 17 06:32:26 PDT 2009,NO_QUERY,biancajoson,finished eating dinner bad day
147095,0,1882669902,Fri May 22 07:16:57 PDT 2009,NO_QUERY,edwinjr2003,think going win
99288,0,1793571326,Thu May 14 03:12:08 PDT 2009,NO_QUERY,victoria911,back really bad fed
1204190,4,1986218368,Sun May 31 18:30:32 PDT 2009,NO_QUERY,Aniutachka,dinner hit yes read correctly
245428,0,1982002736,Sun May 31 10:19:46 PDT 2009,NO_QUERY,CarolMcCarthy,feeling good
418472,0,2061775380,Sat Jun 06 21:35:17 PDT 2009,NO_QUERY,Ayvii,broadcast live need glass
888595,4,1687339391,Sun May 03 08:25:59 PDT 2009,NO_QUERY,sugarman65,learning fish
1440039,4,2061603587,Sat Jun 06 21:12:56 PDT 2009,NO_QUERY,regeenahh,po yan
205867,0,1972984989,Sat May 30 10:15:26 PDT 2009,NO_QUERY,meagansue,going watch little si ice skate maybe little si even let hold yeah right
497146,0,2185792425,Mon Jun 15 17:54:48 PDT 2009,NO_QUERY,talitajjp,twitter
82020,0,1752918670,Sat May 09 23:26:41 PDT 2009,NO_QUERY,miss_tattoo,really dont think much never attention still ya
1440810,4,2061727880,Sat Jun 06 21:29:03 PDT 2009,NO_QUERY,cweatherup,great see getting dom
579794,0,2213608888,Wed Jun 17 15:36:14 PDT 2009,NO_QUERY,ElyPoynter,try said expensive
599562,0,2220700809,Thu Jun 18 03:45:31 PDT 2009,NO_QUERY,Virgop,please please please enter ur following u
1381124,4,2052316041,Sat Jun 06 00:19:28 PDT 2009,NO_QUERY,mdwillbefamous,dedicate update u dear u rock
672804,0,2247290540,Fri Jun 19 18:52:41 PDT 2009,NO_QUERY,GlasgowGooner,damn folded best hand
1572315,4,2188912949,Mon Jun 15 22:49:49 PDT 2009,NO_QUERY,lartist,chasing gig think style le marvel mad magazine
1502838,4,2071794653,Sun Jun 07 19:56:14 PDT 2009,NO_QUERY,SNRKing2,aware swim want people
1281819,4,2001777262,Tue Jun 02 02:02:16 PDT 2009,NO_QUERY,SonnyBoyBlaire,came cook co cripple come chat u discover weird
1469657,4,2064924649,Sun Jun 07 07:29:50 PDT 2009,NO_QUERY,OhDatsBeezy,feel u well every min
477161,0,2178089419,Mon Jun 15 07:10:43 PDT 2009,NO_QUERY,ms_annette,
208154,0,1973652880,Sat May 30 11:34:13 PDT 2009,NO_QUERY,Leyaa15,hey call u r u
989524,4,1834885263,Mon May 18 04:30:44 PDT 2009,NO_QUERY,AnitaKokoreva,good morning good day
155165,0,1955772959,Thu May 28 20:36:03 PDT 2009,NO_QUERY,BksSongstress,oh boy least saw game
1415113,4,2057169974,Sat Jun 06 12:30:13 PDT 2009,NO_QUERY,dv0rak,soda unsure work
1511609,4,2175118901,Mon Jun 15 00:07:59 PDT 2009,NO_QUERY,CforrClemmensen,please comment back mother need know fun safe ur concert ne
709494,0,2257629249,Sat Jun 20 14:38:28 PDT 2009,NO_QUERY,Qwertary,lent guitar hero drum kit friend broke cymbal
1418209,4,2057746259,Sat Jun 06 13:35:04 PDT 2009,NO_QUERY,D_Child,come true come keep faith keep hope alive
172353,0,1963548540,Fri May 29 12:53:26 PDT 2009,NO_QUERY,cmkraut,shipped yet get least call
1354178,4,2046979181,Fri Jun 05 12:58:30 PDT 2009,NO_QUERY,ALIking1111,new phone decide tell like one
909780,4,1751358766,Sat May 09 19:15:51 PDT 2009,NO_QUERY,NeishaNay,sweet
737306,0,2265214571,Sun Jun 21 06:03:54 PDT 2009,NO_QUERY,kaitvad,happy birthday pep happy day today also first day summer day officially getting shorter
702522,0,2255423737,Sat Jun 20 11:14:31 PDT 2009,NO_QUERY,Meagan_Ox,wish somehow go birthday
195415,0,1970497315,Sat May 30 04:06:13 PDT 2009,NO_QUERY,Karlcandido,twitter getting le fun
132077,0,1835670379,Mon May 18 06:30:19 PDT 2009,NO_QUERY,AyeBloodyRight,dead annoying never limit many time access twitter ruin fun
1822,0,1468243138,Tue Apr 07 00:30:16 PDT 2009,NO_QUERY,jkretzmer,dad admitted hospital yesterday want fly cape town visit return ticket
39340,0,1573507702,Tue Apr 21 01:30:04 PDT 2009,NO_QUERY,kodilane,woke sleep hot id breath wake like hate sleeping
467940,0,2175890687,Mon Jun 15 02:17:46 PDT 2009,NO_QUERY,aus2,lecture copious drop wine lecture tonight anyway
1214361,4,1989437894,Mon Jun 01 01:32:23 PDT 2009,NO_QUERY,ainjelly15,love game
1067663,4,1965544191,Fri May 29 16:06:25 PDT 2009,NO_QUERY,eloisajb,like talk talk
1077020,4,1967586766,Fri May 29 19:51:10 PDT 2009,NO_QUERY,musicgotcontrol,wow lot lately phone going hope voice better
1491340,4,2069083579,Sun Jun 07 15:13:54 PDT 2009,NO_QUERY,RochelleVeturis,calico ghost r best
840920,4,1559907147,Sun Apr 19 12:21:11 PDT 2009,NO_QUERY,mooseius,wardrobe feel bad
494741,0,2185023006,Mon Jun 15 16:46:09 PDT 2009,NO_QUERY,explodingfish,know eye
937033,4,1793139693,Thu May 14 01:31:31 PDT 2009,NO_QUERY,omgrrr,cute ur cute pic
82008,0,1752916453,Sat May 09 23:26:12 PDT 2009,NO_QUERY,lilmissck9,super duper birthday party wet wet jean wet wet hair
1492524,4,2069305489,Sun Jun 07 15:38:06 PDT 2009,NO_QUERY,ItsMariahxOxO,oh see well ur day
739415,0,2265724640,Sun Jun 21 07:11:02 PDT 2009,NO_QUERY,iaababista,exactly pa next week next next week na
361525,0,2046950308,Fri Jun 05 12:55:56 PDT 2009,NO_QUERY,aedwards225,still get
91641,0,1759617681,Sun May 10 19:36:34 PDT 2009,NO_QUERY,3vang3lin3,cut accident time today totally
769885,0,2301803202,Tue Jun 23 15:56:01 PDT 2009,NO_QUERY,ShereenNicole,yo clue pic phone
451977,0,2069908132,Sun Jun 07 16:45:01 PDT 2009,NO_QUERY,jerzicua,huge fan mole
122372,0,1833697066,Mon May 18 00:08:38 PDT 2009,NO_QUERY,chelle0622,room somewhat cleaner still colorful
658731,0,2241681179,Fri Jun 19 11:14:52 PDT 2009,NO_QUERY,jennie_v,anyone offended previous sorry coming wa land overcast cloudy day depressing sunny day happy
1415611,4,2057261421,Sat Jun 06 12:40:21 PDT 2009,NO_QUERY,SofiCarolini,old
987536,4,1834671715,Mon May 18 03:48:37 PDT 2009,NO_QUERY,TeemuO,back military refresher training whatever border week fun
286814,0,1994019992,Mon Jun 01 11:17:16 PDT 2009,NO_QUERY,kaylibugs,wishing could go dad
783507,0,2323935391,Thu Jun 25 01:51:55 PDT 2009,NO_QUERY,prozackpills,yea real someone loan pay back interest cant even afford toilet paper
